deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Good Thanks- LES - New Deal,Good Thanks,Williamsburg,87.9%,ff51d2df-ff2d-4477-b092-be8205e15961,ca87e91a-d4dc-4f68-81f3-41b977629a68,Good Thanks,"500,000"
Threes Brewing Greenpoint,Threes Brewing,Gowanus,91.8%,aff2dceb-35c0-4f5e-ac2e-5e3c1727ad1b,70d75be6-7dfc-473c-88af-ce69229d48bd,Threes Brewing,"500,000"
Park Gyros,Park & Grove,Downtown,90.0%,3b1d0c00-8e4a-4fd7-82a1-130f7fcbfb44,dcd6fd21-f7ef-481d-ad65-ba20ebce56d8,Taco Boy / Park & Grove,"500,000"
Bettola - New Deal,Bettola,Inner Richmond,85.9%,946fc993-8cbf-4658-a842-b96319c33f2f,0b964596-c124-4542-b7dd-7fe053e4db6e,Bettola,"500,000"
Montesacro - Marina Marina,Montesacro,Marina,88.8%,6e0a2a22-dc18-45a1-84aa-6795a0ecd304,3e585419-301a-4283-b7d9-071d24b18b56,Montesacro,"500,000"
Montesacro Pinseria - SoMa - New Deal,Montesacro,Marina,81.5%,6e0a2a22-dc18-45a1-84aa-6795a0ecd304,3e585419-301a-4283-b7d9-071d24b18b56,Montesacro,"500,000"
Seamore's Brookfield Place,Seamore's,Brookfield Place,91.4%,69a69019-48a4-4989-b0b6-c973507fdc10,8ca9a27e-2954-414d-b43a-62e4bf673e13,Seamore's,"500,000"
Threes Brewing Huntington,Threes Brewing,Gowanus,91.8%,aff2dceb-35c0-4f5e-ac2e-5e3c1727ad1b,70d75be6-7dfc-473c-88af-ce69229d48bd,Threes Brewing,"500,000"
BRISCOLA TRATTORIA - New Deal,Briscola,Crown Heights,80.7%,db4a0287-fcc3-4d19-8cc3-547475a7d715,64ce2401-7a33-4400-8cad-683078ad24fc,LaRina,"500,000"
Someday Bar NYC - New Deal,Someday Bar,Brooklyn Heights,87.9%,c52f3ae0-fea3-44c6-83af-6c02c6f7963c,37182181-5a5e-4cbc-aeb8-afa26c134b50,Someday Bar,"500,000"
Wabi Nori - New Deal,Wabi Nori Hand Roll Bar,Lower East Side,83.4%,00bd6b49-8faf-48d0-8917-54a09c34464b,ae67dcaa-a874-4b4d-b2b8-0d45f6f26592,Wabi Nori Hand Roll Bar,"500,000"
Burgers and Beer NYC - New Deal,Burgers and Beer,West Village,91.1%,1ae8ba6a-b429-4aa7-b61a-d08a1cd8c905,ea2589e9-797b-4391-afda-95200fafb492,Tio Pepe,0
Tamarind Tribeca - New Deal,Tamarind,Tribeca,83.5%,5c75368d-ee7f-4594-b172-b5e5d162cb11,7f35a4ac-8f01-4a34-9380-0b61e1baf66e,Tamarind,"500,000"
Kalye - Rivington,Kalye,Kalye,90.0%,7364f087-4e30-4c0a-a238-85b80dc0a17f,ab45030a-0c43-4569-9902-173fdc969d88,Kalye,"500,000"
Kalye - Broome St,Kalye,Kalye,85.0%,7364f087-4e30-4c0a-a238-85b80dc0a17f,ab45030a-0c43-4569-9902-173fdc969d88,Kalye,"500,000"
MáLà Project -EV- New Deal,MáLà Project,Bryant Park,91.7%,d52da048-d51d-4d20-8c94-452011134bdd,7d3e4a75-46ec-4a68-a915-4ea17e5f6c25,MáLà Project,"500,000"
MáLà Project -Bryant Park- New Deal,MáLà Project,Bryant Park,88.3%,d52da048-d51d-4d20-8c94-452011134bdd,7d3e4a75-46ec-4a68-a915-4ea17e5f6c25,MáLà Project,"500,000"
MáLà Project -Midtown- New Deal,MáLà Project,Bryant Park,83.5%,d52da048-d51d-4d20-8c94-452011134bdd,7d3e4a75-46ec-4a68-a915-4ea17e5f6c25,MáLà Project,"500,000"
Chambers - New Deal,Chambers,Tribeca,89.0%,0b393047-5ff6-451d-bc51-00bcdfe55ca7,f04a9437-94d4-44c5-acb4-7209d3d0d260,Chambers,"500,000"
The Cactus Shop - New Deal,The Cactus Shop,Williamsburg,91.0%,136ac5ad-cbc4-4ce8-852d-75ba6045cddc,60b5c873-4bef-4725-b076-6a7f25ed6b2b,The Cactus Shop,"500,000"
Avenida - New Deal,Avenida,Midtown,85.9%,16b0a635-3fd7-489e-830a-70ff4b4dad20,d53f41c7-d561-4c90-9154-9a606c7effe3,Host Restaurants,"500,000"
Elixir - New Deal,Elixir,Mission,82.1%,f1723d23-1f1b-454f-859a-961fdff56630,1001c1bf-5d88-4e3f-91a6-0f8969885e89,Elixir,"500,000"
carminestreetbeers.com - New Deal,Carmine Street Beers,West Village,90.6%,f0a1a4e2-605c-41f6-8f23-909cc77bba5f,4c87536c-7a01-4b05-9f44-0478c8b14c37,Carmine Street Beers,"500,000"
Huriyali Gardens (Downtown),Huriyali,Downtown,83.5%,87cfb4b0-57a4-49df-9657-00a324034758,37cf4b00-51ce-43be-a594-ba87c014a209,Huriyali,"500,000"
5ive Spice- Grammercy - New Deal,5ive Spice,Gramercy,86.3%,2ee3a98e-7dd4-4aed-a676-d6d63af96105,043b7e52-9ee4-4913-bf96-9b3a265618d4,5ive Spice,"500,000"
Le Monde,Almond,Bridgehampton,81.4%,809d1ca3-00c2-4a0e-9910-3b54db57c4a3,4f4eac88-d4a2-4a1a-89cc-646d0c331f1a,Almond Restaurants,"500,000"
Acadia,Chada,Greenwich Village,82.7%,17817c64-31f7-4624-ad5e-6dc0570428cb,085e9114-4a8f-4468-b983-59905d4864d1,Chada,"500,000"
Debajo - New Deal,Debajo,NoMad,82.1%,86bc9c75-67eb-4ebf-b493-635d2701bea3,55411d82-ec1f-4454-bf96-904ef64cf4ae,Debajo,"500,000"
Rolo's - New Deal,Rolo’s,Ridgewood,87.1%,062c9193-eaad-460d-b865-4dacdce07353,f204faf9-4964-4be0-b729-c748ffc1e43b,Rolo's,"500,000"
Ritual - New Deal,Ritual,Radcliffborough,82.1%,b64099f4-72a5-4a72-81ca-179da80b9fc0,5b805922-ea2b-4fe3-8a4a-87c3610f583e,Ritual,"500,000"
TALEA Beer Co. - West Village,Criollas West Village,West Village,83.6%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"500,000"
TALEA Beer Co. - Williamsburg,Veselka Williamsburg,Williamsburg,85.1%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Tacombi - Ft Greene,Tacombi,Financial District,83.3%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
Tacombi - Williamsburg,Tacombi,Financial District,81.9%,e8885919-1c59-488a-8fb9-943b33ac508b,b448af3d-5c91-40c4-b344-1fb000d39cfa,Tacombi,"500,000"
