deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Osito - New Deal,Strange Delight,Fort Greene,65.2%,b1891c01-ea5d-43ae-b62b-42415bb9eb7d,6652a146-669f-4c02-88d7-a91ded4bacf9,Strange Delight,"500,000"
Barbuto West Village,Criollas West Village,West Village,93.3%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
St. Tropez West Village,St. Tropez,West Village,98.1%,f0525e6c-f2bb-4936-9c5a-ce5eea7b0097,bd842b88-ecb3-47c5-ac08-6164601d5f0e,St. Tropez,"250,000"
Mino Brasserie West Village,Mino Brasserie,West Village,100.0%,529bc07a-836c-47de-86fc-dc1390146b86,fbd84774-ee20-4d50-ac98-9a6fc13a4962,Mino Brasserie,"250,000"
Sweet Rose Creamery Brentwood Country Mart,Sweet Rose Creamery,Brentwood Country Mart,100.0%,40f76c62-3995-4698-a029-1b82843130ba,f8ea8df0-0efa-4441-bcdd-5fda2649352a,Rustic Canyon Family Group,"250,000"
Gelso & Grand Gelso & Grand,Fresco’s Grand Cantina,Astoria,63.3%,7e7c8b1c-e839-4e64-ba13-f51504e47901,272a9049-5302-46a7-820e-b3c04c23274e,Fresco's Grand Cantina,"250,000"
Swan Room,Trad Room,Bedford-Stuyvesant,76.7%,bf5f63fe-aa4e-49de-b304-f5b335ac121e,4cee774d-4b22-4bc3-82bb-d6cc13e11ed8,Trad Room,"250,000"
Ambra West Village,Criollas West Village,West Village,96.8%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
Jajaja Mexicana West Village,Criollas West Village,West Village,77.1%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
Insa Gowanus,Insa,Gowanus,90.0%,7bfa14c8-038b-432e-b879-94b9f1c74286,8d8b6814-d688-462e-942e-0e568dc448e5,Insa,"250,000"
White Horse Tavern West Village,White Horse Tavern,West Village,93.5%,4f0ab25f-67e0-431b-9bee-41772e1e29ca,ed4de604-df43-4ac3-b3ea-001e4fcd566a,White Horse Tavern,"250,000"
Jajaja Mexicana Hudson Yards,Jax Fish House & Oyster Bar,LoDo,55.3%,27e6df88-376f-41b7-9009-f39c39925d13,4c95e835-b319-4260-bd1d-0626e1e06b2d,Big Red F,"250,000"
Jajaja Mexicana Williamsburg,Veselka Williamsburg,Williamsburg,72.5%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"250,000"
