deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Meadowsweet Williamsburg,Meadowsweet,Williamsburg,100.0%,b127eebc-f3eb-48d9-bad1-d98639b84e90,36e8d9be-948e-44c8-8f51-6718960c54f7,Meadowsweet,"500,000"
Saga SAGA,Saga,Financial District,96.5%,16911b17-65e8-43e8-902f-23c2be8e82c4,7c435f30-a2ba-4393-83ee-86aff33a72e1,Saga Hospitality Group,"250,000"
Blue Whale Marina,Blue Whale,Marina,94.1%,2cf2b124-c9a2-42e4-ae93-453c94d9f908,da0504c6-1488-4f24-bb2a-c1d521760eaa,Blue Whale,"500,000"
Freemans,Freemans,East Village,100.0%,0444ad46-2269-464e-b722-8d63fe938a2c,0a061081-19d9-4457-ada4-823b7f4be0ed,Banzarbar / Freemans,"250,000"
Ace's Pizza Rockefeller Center,Ace's Pizza,Rockefeller Center,93.7%,74f97cb4-6c64-48e2-9d3a-ef2a0c08f13d,b4369c0d-bb70-484e-b6c7-eba50efa2a4f,Ace's Pizza,"500,000"
Ace's Pizza Williamsburg,Ace's Pizza,Rockefeller Center,97.9%,74f97cb4-6c64-48e2-9d3a-ef2a0c08f13d,b4369c0d-bb70-484e-b6c7-eba50efa2a4f,Ace's Pizza,"500,000"
Ketchy Shuby Soho,Ketchy Shuby,Soho,100.0%,955e451d-a2fe-46f5-98ef-1d5c19c864db,02a906c7-87e3-4ed8-abda-2d791e265974,Ketchy Shuby,"500,000"
The Tippling House Cannonborough,The Tippling House,Cannonborough,100.0%,f222e2e0-dbf2-4495-8495-9da9cd41edf1,04b17536-7766-446f-80bc-415e11cacd28,The Tippling House / The Press,"500,000"
Loring Place Greenwich Village,Loring Place,Greenwich Village,97.1%,75e60c2a-08da-49cc-a8df-ffe9a9cdf770,6550de77-eda0-40e9-800d-1b3d44f92dec,Loring Place,"250,000"
Sushi Hakko Pacific Heights,Sushi Hakko,Pacific Heights,97.9%,e0b084b8-e15d-4b95-9edf-f15f5d7936e4,92bf9d77-67db-40d5-86c8-60eded6874ef,Mins Group,"500,000"
Dragon Horse SOMA,Dragon Horse,SOMA,100.0%,7a8090fa-79b2-4593-915b-6445dc7976ba,92bf9d77-67db-40d5-86c8-60eded6874ef,Mins Group,"500,000"
L’Apéro by 4F Brooklyn Heights,L’Apéro by 4F,Brooklyn Heights,100.0%,ed83e904-ede7-46eb-bea2-81c8f4efe64b,793110b9-447a-4914-9e81-aa0a9ad256b0,L'Appartement 4f,"500,000"
Thyme Bar Chelsea,Thyme Bar,Chelsea,100.0%,61e0d60f-b30f-48b1-9350-74860d193935,f835b1d6-a842-4a42-a0ab-8a56589145cb,Thyme Bar,"500,000"
Little Original Joe's-West Portal - New Deal,Little Original Joe's,Marina,96.7%,83ea0413-0dc9-4991-afab-eb0dfb7b24c4,617e2307-6c12-45e1-962b-b6497fab3a60,Original Joe's Group,"500,000"
Toy Soldier Financial,Toy Soldier,Financial,98.8%,618fc8b4-9e56-49c7-be79-e4835ac0ad62,b28abd69-96c1-4dc2-abbe-5d44d7685fdb,Johnny Love Group,"500,000"
